ball,bowler_batsman,result,commentary,length,line
75.5,"Siraj to Hazlewood, OUT",W,"taken at third man...Siraj has his five! Short of a length, Hazlewood went for the ramp and sent it straight to the field. Thakur, who also had four wickets to his name, helps his fellow fast bowler complete the haul",Good,Unknown
75.4,"Siraj to Hazlewood, FOUR runs",4,"cracked away! Leave it to Hazlewood. A length ball outside off, steps to leg and frees his arm through a meaty drive wide of mid-off",Good,Outside Off
75.3,"Siraj to Cummins, 1 run",1,"short of a length, played square into the off side, they want a second to deep cover but then decide against it and Cummins is nearly run out",Good,Outside Off
75.2,"Siraj to Cummins, no run",â€¢,"angled in at leg stump, takes a thick edge and is cut off by Rohit diving at first slip",Unknown,Outside Off
75.1,"Siraj to Cummins, no run",â€¢,heaves a length ball out to deep square leg...and again they don't run,Good,Leg Stump
74.6,"Thakur to Hazlewood, no run",â€¢,"low full toss at off stump, aiming for the yorker, driven to mid-off and Cummins sends Hazlewood back",Yorker,Off Stump
74.5,"Thakur to Hazlewood, no run",â€¢,"short outside off, Hazlewood attempts a square cut and is beaten",Short,Outside Off
74.4,"Thakur to Cummins, 1 run",1,"full outside off, a slower ball, Cummins is just able to reach it as he gives himself room and lobs it down the ground",Full,Outside Off
74.4,"Thakur to Cummins, 1 wide",1w,"short and straight, called wide",Short,Outside Off
74.3,"Thakur to Cummins, no run",â€¢,"short of a length, straight, pushed into the off side",Good,Off Stump
74.2,"Thakur to Hazlewood, 1 run",1,"short of a length, upper cuts this over gully and wide of third man",Good,Outside Off
74.1,"Thakur to Hazlewood, no run",â€¢,over the top edge as he moves to leg and aims to ramp it,Unknown,Leg Stump
73.6,"Siraj to Cummins, no run",â€¢,"back of a length at the stumps, played to the bowler...Hazlewood a long way down and Siraj regrets not throwing at the stumps",Good,Unknown
73.5,"Siraj to Cummins, no run",â€¢,"short of a length, down the leg side, not too far from the gloves as Cummins tries to pull",Good,Leg Stump
73.4,"Siraj to Cummins, 2 runs",2,"hammered down the ground, mid-off is just able to get a hand on it",Unknown,Off Stump
73.3,"Siraj to Cummins, no run",â€¢,"angled in at leg stump, defended as he moves outside leg",Unknown,Leg Stump
73.2,"Siraj to Cummins, SIX runs",6,"gives himself room against a length delivery, a slower delivery, swings through the line and it has the legs to clear long-on",Good,Leg Stump
73.1,"Siraj to Cummins, no run",â€¢,"full at leg stump, driven firmly back at the bowler",Full,Leg Stump
72.6,"Thakur to Hazlewood, no run",â€¢,defends a length delivery,Good,Unknown
72.5,"Thakur to Hazlewood, FOUR runs",4,"through the off side! Full, very wide, Hazlewood reaches out, can barely get to the ball, and slots away the cover drive",Full,Outside Off
72.4,"Thakur to Hazlewood, no run",â€¢,"touch shorter, popped in the air to the on side",Short,Unknown
72.3,"Thakur to Hazlewood, no run",â€¢,"full at the stumps, pushed to mid-on",Full,Unknown
72.2,"Thakur to Hazlewood, no run",â€¢,"back of a length at middle and leg, takes a thick outside edge along the ground to gully",Good,Outside Off
72.1,"Thakur to Lyon, OUT",W,"flayed to cover...short of a length outside off, Lyon tries to drive off the back foot and can't keep it down",Good,Outside Off
71.6,"Siraj to Cummins, no run",â€¢,"back of a length, straight, Cummins misses his heave to leg and is nearly bowled. Signs from Australia?",Good,Leg Stump
71.5,"Siraj to Cummins, no run",â€¢,"full and straight, gives himself some room and heaves to mid-on",Full,Unknown
71.4,"Siraj to Lyon, 1 run",1,"goes for the yorker, it's a low full toss that swings in, takes a thick inside edge to deep square",Yorker,Unknown
71.3,"Siraj to Lyon, SIX runs",6,"short, hooked and all the way! At the body, gets just inside it and helps it over fine leg...maybe more top edge than middle",Short,Middle Stump
71.2,"Siraj to Cummins, 1 run",1,"back of a length and angling in, swung to deep square...Australia's lead goes to 300",Good,Unknown
71.1,"Siraj to Cummins, no run",â€¢,"full at off stump, driven and can't beat mid-off",Full,Off Stump
70.6,"Thakur to Lyon, no run",â€¢,"full at the stumps, 134kph, driven to mid-off",Full,Off Stump
70.5,"Thakur to Lyon, no run",â€¢,"back of a length, wide outside off, Lyon wafts at it",Good,Outside Off
70.4,"Thakur to Cummins, 3 runs",3,"short again, pulled strongly through midwicket",Short,Unknown
70.4,"Thakur to Cummins, (no ball)",1nb,"short and wide, through to the keeper...called wide again. Actually a no-ball for three short balls in a row",Short,Outside Off
70.3,"Thakur to Cummins, no run",â€¢,"goes after this short one, flies over the top edge of an attempted pull",Short,Unknown
70.2,"Thakur to Cummins, no run",â€¢,ducks underneath another shot one,Short,Unknown
70.1,"Thakur to Lyon, 1 run",1,"short of a length, a nice swivel pull to deep square",Good,Unknown
69.6,"Siraj to Cummins, no run",â€¢,"angled in at middle and leg, defended",Unknown,Middle Stump
69.6,"Siraj to Cummins, 1 wide",1w,"another bouncer, well over Cummins...late call of wide, in fact",Short,Outside Off
69.5,"Siraj to Cummins, no run",â€¢,a short ball which he sways out of the way of,Short,Unknown
69.4,"Siraj to Lyon, 1 run",1,nice flick of the wrists sends this behind square from around off stump,Unknown,Off Stump
69.3,"Siraj to Cummins, 1 run",1,"short of a length, pulled through square leg",Good,Leg Stump
69.2,"Siraj to Cummins, FOUR runs",4,"this comes back miles! Short of a length, cuts Cummins in half, takes the inside edge past the stumps and wide of Pant. Hit the crack. An offbreak at 135kph",Good,Outside Off
69.1,"Siraj to Cummins, no run",â€¢,"full at middle, 134kph, defended",Full,Middle Stump
68.6,"Thakur to Cummins, 1 run",1,"short again, angling into the hip, pulled around the corner",Short,Unknown
68.5,"Thakur to Cummins, no run",â€¢,"short of a length, pulled to mid-on",Good,Unknown
68.4,"Thakur to Cummins, 2 runs",2,"back of a length outside off, steered through point with an open face, there is a sweeper out",Good,Outside Off
68.3,"Thakur to Cummins, no run",â€¢,"nips back into Cummins, defended",Unknown,Unknown
68.2,"Thakur to Lyon, 1 run",1,"fuller at the stumps, tucked just wide of mid-on",Full,Outside Off
68.1,"Thakur to Lyon, no run",â€¢,"back of a length at off stump, defended",Good,Off Stump
67.6,"Siraj to Cummins, no run",â€¢,"edged, but doesn't carry to second slip...back of a length angling to Cummins, it went down off the edge",Good,Outside Off
67.5,"Siraj to Cummins, no run",â€¢,"back of a length outside off, forced off the back foot and gully makes a good save",Good,Outside Off
67.4,"Siraj to Lyon, 3 runs",3,"there's the Lyon on-drive again! Lovely stroke, eases forward to a full delivery outside off...not quite the legs for a boundary this time",Full,Outside Off
67.3,"Siraj to Starc, OUT",W,"taken at mid-off! Full on off stump, Starc goes in the air but doesn't get enough on it and that's a simple catch above the head",Full,Off Stump
67.2,"Siraj to Starc, no run",â€¢,a swing and a miss at a length ball angled across,Good,Unknown
67.1,"Siraj to Starc, no run",â€¢,"short of a length, defended on the back foot",Good,Unknown
66.6,"Thakur to Cummins, no run",â€¢,"short again, angles down the leg side and Cummins gets inside the line",Short,Leg Stump
66.5,"Thakur to Cummins, no run",â€¢,"he's struck by this short one! Didn't bounce as much as he expected, tried to go underneath and it takes him on the back of the helmet. So he'll need to be checked",Short,Unknown
66.4,"Thakur to Cummins, FOUR runs",4,"short and wide, he throws his hands and it and the top edge flies over the slips to third man",Short,Outside Off
66.3,"Thakur to Cummins, no run",â€¢,short of a length and down the leg side,Good,Leg Stump
66.2,"Thakur to Cummins, no run",â€¢,"starts with a short ball, he ducks underneath",Short,Unknown
66.1,"Thakur to Starc, 1 run",1,"short of a length on leg stump, clipped towards fine leg",Good,Leg Stump
65.6,"Natarajan to Cummins, no run",â€¢,"good length and just outside off, has a stab at that from the crease and is beaten",Good,Outside Off
65.5,"Natarajan to Cummins, no run",â€¢,"good length on off stump, blocked on the front foot",Good,Off Stump
65.4,"Natarajan to Cummins, no run",â€¢,"full and into the corridor, driven on the up to mid-off",Full,Outside Off
65.3,"Natarajan to Cummins, no run",â€¢,"length and wide outside off, left alone",Good,Outside Off
65.2,"Natarajan to Cummins, no run",â€¢,"good length and into leg stump, pushed to midwicket",Good,Leg Stump
65.1,"Natarajan to Cummins, no run",â€¢,"falls short of first slip. Reaches out on the front foot outside off, the edge dies on the fielder",Short,Outside Off
64.6,"Thakur to Paine, OUT",W,given out caught behind. Short ball climbing steeply outside off. Paine brings out the pull but that's caught the top edge and Pant has done well to leap and hold on to this one,Short,Outside Off
64.5,"Thakur to Paine, no run",â€¢,"good length at middle stump, defended solidly on the front foot",Good,Middle Stump
64.4,"Thakur to Paine, no run",â€¢,"short of a length and curving away from off stump, defended into the off side. Got squared up there",Good,Off Stump
64.3,"Thakur to Paine, 2 runs",2,"short and wide outside off, goes too hard on the cut. Miscues it as a result but that gets him two to cover's left",Good,Outside Off
64.2,"Thakur to Paine, no run",â€¢,"short of a length and wide outside off, left alone",Good,Outside Off
64.1,"Thakur to Paine, no run",â€¢,kicks up from short of a length again. Just outside off as he looks to steer this behind gully. Gets the on the glove,Good,Outside Off
63.6,"Sundar to Paine, 1 run",1,"short and turning into the body, jumps into the leg side and cuts to sweeper point",Short,Outside Off
63.5,"Sundar to Paine, no run",â€¢,short of a length and into the body as he looks to play the glance,Good,Unknown
63.4,"Sundar to Paine, no run",â€¢,"good length and down leg side, left alone with a late attempt at a backheel with his right leg",Good,Leg Stump
63.3,"Sundar to Paine, FOUR runs",4,"reverse sweep in front of point. Good length and at leg stump, reaches out with the same grip and isn't quite low enough, but watches it nicely to whip that away",Good,Outside Off
63.2,"Sundar to Paine, FOUR runs",4,good length and spinning down from middle stump. Gets forward with soft hands and tickles this fine,Good,Middle Stump
63.1,"Sundar to Paine, no run",â€¢,"good length and turning in from outside off, gets forward for the block and is struck on the pad outside off",Good,Outside Off
62.6,"Thakur to Cummins, no run",â€¢,"short and down leg side, can't get bat on the attempted pull",Short,Leg Stump
62.5,"Thakur to Cummins, no run",â€¢,"yorker at leg stump, hurriedly dug out towards mid-on",Yorker,Leg Stump
62.4,"Thakur to Cummins, no run",â€¢,"length and wide outside off, left alone",Good,Outside Off
62.3,"Thakur to Cummins, no run",â€¢,"length and wide outside off, left alone",Good,Outside Off
62.2,"Thakur to Paine, 1 run",1,"short of a length outside off, punched into the covers off the back foot",Good,Outside Off
62.1,"Thakur to Paine, no run",â€¢,"length outside off, leans in for the drive into the covers",Good,Outside Off
61.6,"Sundar to Cummins, no run",â€¢,"and this one goes away. Cummins stuck on the back foot playing for the one that comes in, but this is an arm ball beating his outside edge",Unknown,Unknown
61.5,"Sundar to Cummins, no run",â€¢,"short of a length and turning in from middle stump. Cummins shaping for the back foot punch, cops that on the thigh",Good,Middle Stump
61.4,"Sundar to Cummins, no run",â€¢,"length and outside leg stump, pads it past leg slip",Good,Outside Off
61.3,"Sundar to Cummins, 2 runs",2,"low full toss at leg stump, flicked out to deep square's left",Yorker,Leg Stump
61.2,"Sundar to Cummins, no run",â€¢,"full on off stump, driven to mid-off against the turn",Full,Off Stump
61.1,"Sundar to Paine, 1 run",1,"full on middle stump, pushed towards mid-on with the turn",Full,Middle Stump
60.6,"Thakur to Cummins, no run",â€¢,"full and just outside off, left alone",Full,Outside Off
60.5,"Thakur to Green, OUT",W,"another catch for Rohit. Must be his fourth of the match. (Edit:fifth) Short of a length and rising in the corridor. Green has a stab at that and gets a healthy edge that carries to second slip at hip height. That's the last of Green's batting in this series, and perhaps one of his hardest knocks too. It's been a good display at international level so far, but got stuck today",Good,Outside Off
60.4,"Thakur to Green, no run",â€¢,"good length on off stump, defended off the back foot",Good,Off Stump
60.3,"Thakur to Green, no run",â€¢,"short of a length in the corridor, defended off the back foot",Good,Outside Off
60.2,"Thakur to Paine, 1 run",1,"good length outside off, punched to extra cover's right",Good,Outside Off
60.1,"Thakur to Paine, no run",â€¢,"falls just short of midwicket. Full and into the pads. Paine eager on the flick, goes early and with hard hands. It dies on Gill who lunges forward",Full,Leg Stump
59.6,"Saini to Paine, 1 run",1,"short of a length and just outside off, cut to deep point",Good,Outside Off
59.5,"Saini to Paine, FOUR runs",4,"these are throwdowns at this point. Saini, nowhere near full fitness, is floating up driving balls at 130kph. Paine has this right under his eyes and gets the on-drive away",Full,Outside Off
59.4,"Saini to Green, 3 runs",3,"classy. Stands nice and tall and punches this on the rise, between non-striker and mid-on. Wasn't a full ball by any means, was up at about knee height and he drove on the rise",Full,Unknown
59.3,"Saini to Green, no run",â€¢,"good length in the corridor, shuffles and defends down the pitch",Good,Outside Off
59.2,"Saini to Paine, 1 run",1,"good length and into off stump, 129kph, shuffles and pushes to midwicket's right",Good,Off Stump
59.1,"Saini to Paine, no run",â€¢,"full and just outside off, driven along the ground to mid-off",Full,Outside Off
58.6,"Siraj to Green, no run",â€¢,"bouncer at an off stump line, ducks to leave",Short,Off Stump
58.5,"Siraj to Paine, 1 run",1,"good length at middle stump, pushed to mid-on's right with soft hands",Good,Middle Stump
58.4,"Siraj to Paine, no run",â€¢,"good length and wide outside off, left alone",Good,Outside Off
58.3,"Siraj to Paine, no run",â€¢,"short of a length outside off, left alone",Good,Outside Off
58.2,"Siraj to Paine, no run",â€¢,"short of a length outside off, cut into the covers",Good,Outside Off
58.1,"Siraj to Paine, no run",â€¢,short of a length and spitting up at an off stump line. Defended into the covers,Good,Outside Off
57.6,"Saini to Paine, 3 runs",3,full and floated in at off stump. Shuffles across off stump and drives this to mid-on's right. Sundar is beaten on the dive and then gives chase to pull it back,Full,Off Stump
57.5,"Saini to Paine, no run",â€¢,good length and catching him on the thigh guard as he looks to tickle this fine,Good,Leg Stump
57.4,"Saini to Paine, no run",â€¢,"good length and in at off stump, tentative with his defence down the pitch",Good,Off Stump
57.3,"Saini to Green, 1 run",1,"good length and just outside off, defended into the covers",Good,Outside Off
57.2,"Saini to Green, FOUR runs",4,"short and wide and right on top of that before he chops it to the point boundary. No venom in these deliveries from Saini, with his groin problem",Short,Outside Off
57.1,"Saini to Green, 2 runs",2,"full and slanted in at off stump, plants the front leg across and clips it to mid-on's right",Full,Off Stump
56.6,"Siraj to Green, 1 run",1,"full and just outside off, leans in for the drive but gets it off the toe-end. Extra cover slides to the right to parry it for mid-off. Been hard going for Green, the timing continues to desert him",Full,Outside Off
56.5,"Siraj to Green, no run",â€¢,"full and just outside off, driven firmly to mid-off",Full,Outside Off
56.4,"Siraj to Paine, 1 run",1,good length and sliding onto the pad. Flicked to fine leg with the angle,Good,Leg Stump
56.3,"Siraj to Paine, no run",â€¢,"full at middle stump, punched out to mid-on",Full,Middle Stump
56.2,"Siraj to Green, 1 run",1,"good length and into the corridor, dropped pitch side with soft hands",Good,Outside Off
56.1,"Siraj to Paine, 1 run",1,"good length and into the corridor, gets forward and pushes gingerly into the covers",Good,Outside Off
55.6,"Sundar to Green, FOUR runs",4,"another powerful sweep, gets it wide of the backward square...nice connection",Unknown,Outside Off
55.5,"Sundar to Green, no run",â€¢,uses his feet again then pushes back to the bowler,Unknown,Unknown
55.4,"Sundar to Green, no run",â€¢,"goes on with the air outside off, pushed square",Unknown,Outside Off
55.3,"Sundar to Paine, 1 run",1,"on the pads, flicked to deep square leg",Unknown,Leg Stump
55.2,"Sundar to Green, 1 run",1,"full at off stump, clips it straight of the midwickets down to long-on",Full,Off Stump
55.1,"Sundar to Green, no run",â€¢,uses his feet then defends,Unknown,Unknown
54.6,"Siraj to Paine, no run",â€¢,"full outside off, drives with the feet slightly stuck in the crease. Superb over",Full,Outside Off
54.5,"Siraj to Paine, no run",â€¢,"outside off, back of a length, Paine cautiously tries to get forward, bottom hand comes off the bat as he defends",Good,Outside Off
54.4,"Siraj to Paine, no run",â€¢,"and another! This leaps again from back of a length. Paine rips his bottom hand off the bat, this one loops into space.",Good,Off Stump
54.3,"Siraj to Paine, no run",â€¢,"full at off stump, out of the middle straightaway and pushed back down the pitch",Full,Off Stump
54.2,"Siraj to Smith, OUT",W,"this leaps, and is fended to gully! Hang on a moment, Smith thinks this may have hit the glove when it was off the bat handle and has called the review. It leapt off the pitch from back of a length...and, nope, the glove was certainly on the handle at point of impact. He could nothing about that, really, and it looped to Rahane. Australia's quicks won't mind seeing that",Good,Outside Off
54.1,"Siraj to Smith, no run",â€¢,"good length outside off, defended",Good,Outside Off
53.6,"Sundar to Green, FOUR runs",4,strong shot! Goes down on his back knee and sweeps this from around off stump through square leg. Green's first boundary,Unknown,Off Stump
53.5,"Sundar to Green, 2 runs",2,"starts to use his feet again, adjusts late and dabs this backward of point when the delivery is shorter",Short,Outside Off
53.4,"Sundar to Green, no run",â€¢,uses his feet and clips to one of the two short midwickets,Short,Unknown
53.3,"Sundar to Smith, 1 run",1,"outside leg stump, worked into short fine leg",Short,Leg Stump
53.2,"Sundar to Smith, FOUR runs",4,"full outside off, brings a drive from Smith, flies off a thick outside down to third man...nicely bowled",Full,Outside Off
53.1,"Sundar to Smith, no run",â€¢,defends a straight delivery to midwicket,Unknown,Unknown
52.6,"Siraj to Green, no run",â€¢,"back of a length outside off, this keeps a little low although Green was also playing on the back foot",Good,Outside Off
52.5,"Siraj to Green, no run",â€¢,"back of a length at off stump, defended to midwicket",Good,Off Stump
52.4,"Siraj to Green, no run",â€¢,"dropped! In his followthrough by Siraj. Drives at a length delivery, struck it quite nicely, went straight down the pitch and Siraj couldn't hold it to his right",Good,Unknown
52.3,"Siraj to Green, no run",â€¢,"full at off stump, drives and finds point",Full,Outside Off
52.2,"Siraj to Green, no run",â€¢,"well bowled, draws Green across the crease and beats the outside edge",Unknown,Unknown
52.1,"Siraj to Green, no run",â€¢,"short of a length outside off, defended on the back foot",Good,Outside Off
51.6,"Sundar to Smith, no run",â€¢,defended to the leg side,Unknown,Leg Stump
51.5,"Sundar to Smith, no run",â€¢,"short of a length, turned to short leg",Good,Leg Stump
51.4,"Sundar to Green, 1 run",1,driven towards mid-off who is deep enough to allow the single,Unknown,Off Stump
51.3,"Sundar to Smith, 1 run",1,worked off the pads backward of square and that's Smith's fifty from 67 balls,Unknown,Off Stump
51.2,"Sundar to Smith, no run",â€¢,"fuller, he comes forward and defends to short mid-on",Full,Unknown
51.1,"Sundar to Smith, no run",â€¢,tucked into midwicket,Unknown,Unknown
